,Object,Measurand,Output,Trained by,Comp. by,Implem. by,Performed by,Measured quantity value
0,NTS_def,BLEU,o1,t1,t1,t1,t1,84.51
1,NTS_def,BLEU,o1,t1,t1,t1,t2,84.5
2,NTS_def,BLEU,o1,t1,t1,≈t1,t3,85.59999999999998
3,NTS_def,BLEU,o1,t1,t1,sacreBLEU,t3,84.2
12,NTS_def,BLEU,o1,t1,t1,t1,t4,84.5126834962791
6,NTS_def,BLEU,o1,t1,t1,sacreBLEU,t4,84.6
4,NTS_def,BLEU,o2,t2,t2,t1,t2,87.45999999999998
5,NTS_def,BLEU,o3,t1,t3,≈t1,t3,86.61
6,NTS_def,BLEU,o3,t1,t3,sacreBLEU,t3,86.2
1,NTS_def,BLEU,o4,t1,t4,t1,t4,86.53074664758451
9,NTS_def,BLEU,o4,t1,t4,sacreBLEU,t4,86.6
1,NTS_def,BLEU,o5,t4,t4,t1,t4,88.81284845195978
3,NTS_def,BLEU,o5,t4,t4,sacreBLEU,t4,88.8
7,NTS_def,SARI,o1,t1,t1,t1,t1,30.65
8,NTS_def,SARI,o1,t1,t1,t1,t2,30.65
9,NTS_def,SARI,o1,t1,t1,t1,t3,30.65
8,NTS_def,SARI,o1,t1,t1,t1,t4,30.654241162022547
10,NTS_def,SARI,o2,t2,t2,t1,t2,29.13
11,NTS_def,SARI,o3,t1,t3,t1,t3,29.96
0,NTS_def,SARI,o4,t1,t4,t1,t4,29.958419627251626
0,NTS_def,SARI,o5,t4,t4,t1,t4,30.225472737217675
12,NTS-w2v_def,BLEU,o1,t1,t1,t1,t1,87.5
13,NTS-w2v_def,BLEU,o1,t1,t1,≈t1,t3,89.36
14,NTS-w2v_def,BLEU,o1,t1,t1,sacreBLEU,t3,88.09999999999998
9,NTS-w2v_def,BLEU,o1,t1,t1,t1,t4,87.49542139142727
2,NTS-w2v_def,BLEU,o1,t1,t1,sacreBLEU,t4,87.9
15,NTS-w2v_def,BLEU,o2,t2,t2,t1,t2,80.75
16,NTS-w2v_def,BLEU,o3,t1,t3,≈t1,t3,89.64
17,NTS-w2v_def,BLEU,o3,t1,t3,sacreBLEU,t3,88.79999999999998
3,NTS-w2v_def,BLEU,o4,t1,t4,t1,t4,89.40374177707669
4,NTS-w2v_def,BLEU,o4,t1,t4,sacreBLEU,t4,89.4
3,NTS-w2v_def,BLEU,o5,t4,t4,t1,t4,89.71622064449785
0,NTS-w2v_def,BLEU,o5,t4,t4,sacreBLEU,t4,89.7
18,NTS-w2v_def,SARI,o1,t1,t1,t1,t1,31.11
19,NTS-w2v_def,SARI,o1,t1,t1,t1,t3,31.11
5,NTS-w2v_def,SARI,o1,t1,t1,t1,t4,31.10987772916544
20,NTS-w2v_def,SARI,o2,t2,t2,t1,t2,30.28
21,NTS-w2v_def,SARI,o3,t1,t3,t1,t3,29.12
2,NTS-w2v_def,SARI,o4,t1,t4,t1,t4,29.118110959526803
2,NTS-w2v_def,SARI,o5,t4,t4,t1,t4,29.93997781570469
