[06/11/22 13:44:36 INFO] Using GPU(s): 1
[06/11/22 13:44:36 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/11/22 13:44:36 INFO] Training Sequence to Sequence with Attention model
[06/11/22 13:44:36 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/11/22 13:44:47 INFO]  * vocabulary size: source = 50004; target = 50004
[06/11/22 13:44:47 INFO]  * additional features: source = 0; target = 0
[06/11/22 13:44:47 INFO]  * maximum sequence length: source = 80; target = 81
[06/11/22 13:44:47 INFO]  * number of training sentences: 282954
[06/11/22 13:44:47 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/11/22 13:44:47 INFO] Building model...
[06/11/22 13:44:47 INFO]  * Encoder:
[06/11/22 13:44:49 INFO]    - with word embeddings size: 500
[06/11/22 13:44:49 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/11/22 13:44:49 INFO]  * Decoder:
[06/11/22 13:44:50 INFO]    - with word embeddings size: 500
[06/11/22 13:44:50 INFO]    - Global Attention: general
[06/11/22 13:44:52 INFO] Initializing parameters...
[06/11/22 13:44:53 INFO] Network size: 50004x500
[06/11/22 13:44:53 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 13:44:53 INFO] Network size: 50004x500
[06/11/22 13:44:53 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 13:44:53 INFO]  * number of parameters: 84822004
[06/11/22 13:44:53 INFO] Preparing memory optimization...
[06/11/22 13:44:54 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/11/22 13:44:54 INFO] Start training...
[06/11/22 13:44:54 INFO] 
[06/11/22 13:45:16 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3741 ; Perplexity 91040.66
[06/11/22 13:45:26 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8316 ; Perplexity 14023.13
[06/11/22 13:45:35 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7589 ; Perplexity 3936.69
[06/11/22 13:45:44 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8963 ; Perplexity 2254.93
[06/11/22 13:45:53 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8720 ; Perplexity 1668.58
[06/11/22 13:46:03 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7920 ; Perplexity 1271.29
[06/11/22 13:46:13 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9251 ; Perplexity 1133.81
[06/11/22 13:46:22 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7851 ; Perplexity 937.28
[06/11/22 13:46:31 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9611 ; Perplexity 880.02
[06/11/22 13:46:40 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9272 ; Perplexity 784.33
[06/11/22 13:46:50 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8758 ; Perplexity 664.71
[06/11/22 13:46:59 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9240 ; Perplexity 648.50
[06/11/22 13:47:08 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9063 ; Perplexity 603.14
[06/11/22 13:47:17 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8689 ; Perplexity 537.19
[06/11/22 13:47:27 INFO] Epoch 1 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 8413 ; Perplexity 515.64
[06/11/22 13:47:36 INFO] Epoch 1 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 8916 ; Perplexity 495.41
[06/11/22 13:47:45 INFO] Epoch 1 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 9369 ; Perplexity 465.00
[06/11/22 13:47:55 INFO] Epoch 1 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8788 ; Perplexity 481.90
[06/11/22 13:48:04 INFO] Epoch 1 ; Iteration 950/4463 ; Learning rate 1.0000 ; Source tokens/s 9323 ; Perplexity 416.19
[06/11/22 13:48:13 INFO] Epoch 1 ; Iteration 1000/4463 ; Learning rate 1.0000 ; Source tokens/s 9178 ; Perplexity 397.36
[06/11/22 13:48:22 INFO] Epoch 1 ; Iteration 1050/4463 ; Learning rate 1.0000 ; Source tokens/s 8562 ; Perplexity 375.98
[06/11/22 13:48:31 INFO] Epoch 1 ; Iteration 1100/4463 ; Learning rate 1.0000 ; Source tokens/s 9389 ; Perplexity 361.67
[06/11/22 13:48:41 INFO] Epoch 1 ; Iteration 1150/4463 ; Learning rate 1.0000 ; Source tokens/s 8930 ; Perplexity 341.97
[06/11/22 13:48:50 INFO] Epoch 1 ; Iteration 1200/4463 ; Learning rate 1.0000 ; Source tokens/s 9453 ; Perplexity 332.56
[06/11/22 13:48:59 INFO] Epoch 1 ; Iteration 1250/4463 ; Learning rate 1.0000 ; Source tokens/s 8731 ; Perplexity 321.09
[06/11/22 13:49:08 INFO] Epoch 1 ; Iteration 1300/4463 ; Learning rate 1.0000 ; Source tokens/s 8893 ; Perplexity 312.26
[06/11/22 13:49:17 INFO] Epoch 1 ; Iteration 1350/4463 ; Learning rate 1.0000 ; Source tokens/s 9270 ; Perplexity 293.51
[06/11/22 13:49:26 INFO] Epoch 1 ; Iteration 1400/4463 ; Learning rate 1.0000 ; Source tokens/s 8843 ; Perplexity 300.16
[06/11/22 13:49:36 INFO] Epoch 1 ; Iteration 1450/4463 ; Learning rate 1.0000 ; Source tokens/s 9017 ; Perplexity 287.47
[06/11/22 13:49:45 INFO] Epoch 1 ; Iteration 1500/4463 ; Learning rate 1.0000 ; Source tokens/s 8570 ; Perplexity 278.45
[06/11/22 13:49:53 INFO] Epoch 1 ; Iteration 1550/4463 ; Learning rate 1.0000 ; Source tokens/s 8785 ; Perplexity 274.96
[06/11/22 13:50:03 INFO] Epoch 1 ; Iteration 1600/4463 ; Learning rate 1.0000 ; Source tokens/s 9824 ; Perplexity 276.09
[06/11/22 13:50:12 INFO] Epoch 1 ; Iteration 1650/4463 ; Learning rate 1.0000 ; Source tokens/s 8607 ; Perplexity 255.56
[06/11/22 13:50:21 INFO] Epoch 1 ; Iteration 1700/4463 ; Learning rate 1.0000 ; Source tokens/s 9673 ; Perplexity 251.31
[06/11/22 13:50:31 INFO] Epoch 1 ; Iteration 1750/4463 ; Learning rate 1.0000 ; Source tokens/s 8287 ; Perplexity 241.17
[06/11/22 13:50:39 INFO] Epoch 1 ; Iteration 1800/4463 ; Learning rate 1.0000 ; Source tokens/s 8722 ; Perplexity 235.02
[06/11/22 13:50:49 INFO] Epoch 1 ; Iteration 1850/4463 ; Learning rate 1.0000 ; Source tokens/s 9136 ; Perplexity 220.86
[06/11/22 13:50:58 INFO] Epoch 1 ; Iteration 1900/4463 ; Learning rate 1.0000 ; Source tokens/s 9483 ; Perplexity 234.28
[06/11/22 13:51:07 INFO] Epoch 1 ; Iteration 1950/4463 ; Learning rate 1.0000 ; Source tokens/s 9048 ; Perplexity 207.78
[06/11/22 13:51:16 INFO] Epoch 1 ; Iteration 2000/4463 ; Learning rate 1.0000 ; Source tokens/s 8973 ; Perplexity 207.88
[06/11/22 13:51:25 INFO] Epoch 1 ; Iteration 2050/4463 ; Learning rate 1.0000 ; Source tokens/s 8805 ; Perplexity 198.82
[06/11/22 13:51:34 INFO] Epoch 1 ; Iteration 2100/4463 ; Learning rate 1.0000 ; Source tokens/s 9226 ; Perplexity 188.22
[06/11/22 13:51:44 INFO] Epoch 1 ; Iteration 2150/4463 ; Learning rate 1.0000 ; Source tokens/s 8175 ; Perplexity 177.38
[06/11/22 13:51:54 INFO] Epoch 1 ; Iteration 2200/4463 ; Learning rate 1.0000 ; Source tokens/s 9035 ; Perplexity 169.89
[06/11/22 13:52:03 INFO] Epoch 1 ; Iteration 2250/4463 ; Learning rate 1.0000 ; Source tokens/s 9327 ; Perplexity 159.70
[06/11/22 13:52:13 INFO] Epoch 1 ; Iteration 2300/4463 ; Learning rate 1.0000 ; Source tokens/s 8951 ; Perplexity 145.94
[06/11/22 13:52:21 INFO] Epoch 1 ; Iteration 2350/4463 ; Learning rate 1.0000 ; Source tokens/s 8034 ; Perplexity 131.96
