[06/11/22 13:44:38 INFO] Using GPU(s): 2
[06/11/22 13:44:38 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/11/22 13:44:38 INFO] Training Sequence to Sequence with Attention model
[06/11/22 13:44:38 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/11/22 13:44:50 INFO]  * vocabulary size: source = 50004; target = 50004
[06/11/22 13:44:50 INFO]  * additional features: source = 0; target = 0
[06/11/22 13:44:50 INFO]  * maximum sequence length: source = 80; target = 81
[06/11/22 13:44:50 INFO]  * number of training sentences: 282954
[06/11/22 13:44:50 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/11/22 13:44:50 INFO] Building model...
[06/11/22 13:44:50 INFO]  * Encoder:
[06/11/22 13:44:51 INFO]    - with word embeddings size: 500
[06/11/22 13:44:51 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/11/22 13:44:51 INFO]  * Decoder:
[06/11/22 13:44:53 INFO]    - with word embeddings size: 500
[06/11/22 13:44:53 INFO]    - Global Attention: general
[06/11/22 13:44:54 INFO] Initializing parameters...
[06/11/22 13:44:55 INFO] Network size: 50004x500
[06/11/22 13:44:55 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 13:44:56 INFO] Network size: 50004x500
[06/11/22 13:44:56 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 13:44:56 INFO]  * number of parameters: 84822004
[06/11/22 13:44:56 INFO] Preparing memory optimization...
[06/11/22 13:44:56 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/11/22 13:44:56 INFO] Start training...
[06/11/22 13:44:56 INFO] 
[06/11/22 13:45:19 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3716 ; Perplexity 79627.00
[06/11/22 13:45:28 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8307 ; Perplexity 12856.04
[06/11/22 13:45:38 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7580 ; Perplexity 5128.32
[06/11/22 13:45:47 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8954 ; Perplexity 3210.52
[06/11/22 13:45:56 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8734 ; Perplexity 1609.32
[06/11/22 13:46:06 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7918 ; Perplexity 1375.22
[06/11/22 13:46:15 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9249 ; Perplexity 1193.82
[06/11/22 13:46:25 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7848 ; Perplexity 1034.37
[06/11/22 13:46:34 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9625 ; Perplexity 955.42
[06/11/22 13:46:43 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9284 ; Perplexity 834.89
[06/11/22 13:46:52 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8745 ; Perplexity 719.41
[06/11/22 13:47:02 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9280 ; Perplexity 713.90
[06/11/22 13:47:11 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9035 ; Perplexity 657.56
[06/11/22 13:47:20 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8705 ; Perplexity 619.27
[06/11/22 13:47:29 INFO] Epoch 1 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 8432 ; Perplexity 561.58
[06/11/22 13:47:38 INFO] Epoch 1 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 8920 ; Perplexity 554.67
[06/11/22 13:47:48 INFO] Epoch 1 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 9384 ; Perplexity 500.38
[06/11/22 13:47:58 INFO] Epoch 1 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8779 ; Perplexity 473.01
[06/11/22 13:48:07 INFO] Epoch 1 ; Iteration 950/4463 ; Learning rate 1.0000 ; Source tokens/s 9345 ; Perplexity 461.49
[06/11/22 13:48:16 INFO] Epoch 1 ; Iteration 1000/4463 ; Learning rate 1.0000 ; Source tokens/s 9153 ; Perplexity 435.82
[06/11/22 13:48:25 INFO] Epoch 1 ; Iteration 1050/4463 ; Learning rate 1.0000 ; Source tokens/s 8603 ; Perplexity 410.55
[06/11/22 13:48:34 INFO] Epoch 1 ; Iteration 1100/4463 ; Learning rate 1.0000 ; Source tokens/s 9381 ; Perplexity 397.25
[06/11/22 13:48:43 INFO] Epoch 1 ; Iteration 1150/4463 ; Learning rate 1.0000 ; Source tokens/s 9213 ; Perplexity 375.57
[06/11/22 13:48:53 INFO] Epoch 1 ; Iteration 1200/4463 ; Learning rate 1.0000 ; Source tokens/s 9130 ; Perplexity 368.40
[06/11/22 13:49:02 INFO] Epoch 1 ; Iteration 1250/4463 ; Learning rate 1.0000 ; Source tokens/s 8731 ; Perplexity 355.07
[06/11/22 13:49:11 INFO] Epoch 1 ; Iteration 1300/4463 ; Learning rate 1.0000 ; Source tokens/s 8908 ; Perplexity 344.46
[06/11/22 13:49:20 INFO] Epoch 1 ; Iteration 1350/4463 ; Learning rate 1.0000 ; Source tokens/s 9272 ; Perplexity 328.72
[06/11/22 13:49:29 INFO] Epoch 1 ; Iteration 1400/4463 ; Learning rate 1.0000 ; Source tokens/s 8843 ; Perplexity 329.40
[06/11/22 13:49:38 INFO] Epoch 1 ; Iteration 1450/4463 ; Learning rate 1.0000 ; Source tokens/s 9040 ; Perplexity 318.62
[06/11/22 13:49:47 INFO] Epoch 1 ; Iteration 1500/4463 ; Learning rate 1.0000 ; Source tokens/s 8544 ; Perplexity 310.45
[06/11/22 13:49:56 INFO] Epoch 1 ; Iteration 1550/4463 ; Learning rate 1.0000 ; Source tokens/s 8806 ; Perplexity 303.08
[06/11/22 13:50:05 INFO] Epoch 1 ; Iteration 1600/4463 ; Learning rate 1.0000 ; Source tokens/s 9852 ; Perplexity 309.73
[06/11/22 13:50:15 INFO] Epoch 1 ; Iteration 1650/4463 ; Learning rate 1.0000 ; Source tokens/s 8614 ; Perplexity 285.65
[06/11/22 13:50:24 INFO] Epoch 1 ; Iteration 1700/4463 ; Learning rate 1.0000 ; Source tokens/s 9762 ; Perplexity 280.38
[06/11/22 13:50:33 INFO] Epoch 1 ; Iteration 1750/4463 ; Learning rate 1.0000 ; Source tokens/s 8622 ; Perplexity 271.73
[06/11/22 13:50:42 INFO] Epoch 1 ; Iteration 1800/4463 ; Learning rate 1.0000 ; Source tokens/s 8302 ; Perplexity 268.15
[06/11/22 13:50:51 INFO] Epoch 1 ; Iteration 1850/4463 ; Learning rate 1.0000 ; Source tokens/s 9217 ; Perplexity 259.89
[06/11/22 13:51:01 INFO] Epoch 1 ; Iteration 1900/4463 ; Learning rate 1.0000 ; Source tokens/s 9441 ; Perplexity 277.63
[06/11/22 13:51:09 INFO] Epoch 1 ; Iteration 1950/4463 ; Learning rate 1.0000 ; Source tokens/s 9092 ; Perplexity 251.47
[06/11/22 13:51:18 INFO] Epoch 1 ; Iteration 2000/4463 ; Learning rate 1.0000 ; Source tokens/s 9047 ; Perplexity 251.24
[06/11/22 13:51:28 INFO] Epoch 1 ; Iteration 2050/4463 ; Learning rate 1.0000 ; Source tokens/s 8765 ; Perplexity 248.02
[06/11/22 13:51:37 INFO] Epoch 1 ; Iteration 2100/4463 ; Learning rate 1.0000 ; Source tokens/s 9375 ; Perplexity 240.71
[06/11/22 13:51:46 INFO] Epoch 1 ; Iteration 2150/4463 ; Learning rate 1.0000 ; Source tokens/s 8514 ; Perplexity 233.12
[06/11/22 13:51:56 INFO] Epoch 1 ; Iteration 2200/4463 ; Learning rate 1.0000 ; Source tokens/s 8698 ; Perplexity 232.93
[06/11/22 13:52:05 INFO] Epoch 1 ; Iteration 2250/4463 ; Learning rate 1.0000 ; Source tokens/s 9430 ; Perplexity 231.92
[06/11/22 13:52:15 INFO] Epoch 1 ; Iteration 2300/4463 ; Learning rate 1.0000 ; Source tokens/s 8917 ; Perplexity 226.41
[06/11/22 13:52:23 INFO] Epoch 1 ; Iteration 2350/4463 ; Learning rate 1.0000 ; Source tokens/s 8198 ; Perplexity 208.53
[06/11/22 13:52:32 INFO] Epoch 1 ; Iteration 2400/4463 ; Learning rate 1.0000 ; Source tokens/s 8727 ; Perplexity 207.50
[06/11/22 13:52:41 INFO] Epoch 1 ; Iteration 2450/4463 ; Learning rate 1.0000 ; Source tokens/s 9464 ; Perplexity 203.90
[06/11/22 13:52:50 INFO] Epoch 1 ; Iteration 2500/4463 ; Learning rate 1.0000 ; Source tokens/s 8545 ; Perplexity 195.88
[06/11/22 13:53:00 INFO] Epoch 1 ; Iteration 2550/4463 ; Learning rate 1.0000 ; Source tokens/s 8749 ; Perplexity 194.87
[06/11/22 13:53:09 INFO] Epoch 1 ; Iteration 2600/4463 ; Learning rate 1.0000 ; Source tokens/s 9067 ; Perplexity 192.70
[06/11/22 13:53:18 INFO] Epoch 1 ; Iteration 2650/4463 ; Learning rate 1.0000 ; Source tokens/s 8926 ; Perplexity 185.01
[06/11/22 13:53:27 INFO] Epoch 1 ; Iteration 2700/4463 ; Learning rate 1.0000 ; Source tokens/s 8988 ; Perplexity 179.40
[06/11/22 13:53:36 INFO] Epoch 1 ; Iteration 2750/4463 ; Learning rate 1.0000 ; Source tokens/s 9392 ; Perplexity 172.66
[06/11/22 13:53:45 INFO] Epoch 1 ; Iteration 2800/4463 ; Learning rate 1.0000 ; Source tokens/s 9177 ; Perplexity 160.25
[06/11/22 13:53:54 INFO] Epoch 1 ; Iteration 2850/4463 ; Learning rate 1.0000 ; Source tokens/s 8790 ; Perplexity 155.67
[06/11/22 13:54:04 INFO] Epoch 1 ; Iteration 2900/4463 ; Learning rate 1.0000 ; Source tokens/s 9026 ; Perplexity 144.17
[06/11/22 13:54:13 INFO] Epoch 1 ; Iteration 2950/4463 ; Learning rate 1.0000 ; Source tokens/s 8154 ; Perplexity 134.27
[06/11/22 13:54:22 INFO] Epoch 1 ; Iteration 3000/4463 ; Learning rate 1.0000 ; Source tokens/s 9164 ; Perplexity 123.23
[06/11/22 13:54:31 INFO] Epoch 1 ; Iteration 3050/4463 ; Learning rate 1.0000 ; Source tokens/s 9268 ; Perplexity 121.28
[06/11/22 13:54:41 INFO] Epoch 1 ; Iteration 3100/4463 ; Learning rate 1.0000 ; Source tokens/s 8732 ; Perplexity 112.50
[06/11/22 13:54:50 INFO] Epoch 1 ; Iteration 3150/4463 ; Learning rate 1.0000 ; Source tokens/s 8120 ; Perplexity 106.22
[06/11/22 13:54:59 INFO] Epoch 1 ; Iteration 3200/4463 ; Learning rate 1.0000 ; Source tokens/s 8762 ; Perplexity 102.12
[06/11/22 13:55:08 INFO] Epoch 1 ; Iteration 3250/4463 ; Learning rate 1.0000 ; Source tokens/s 8544 ; Perplexity 97.76
[06/11/22 13:55:18 INFO] Epoch 1 ; Iteration 3300/4463 ; Learning rate 1.0000 ; Source tokens/s 9056 ; Perplexity 92.51
[06/11/22 13:55:27 INFO] Epoch 1 ; Iteration 3350/4463 ; Learning rate 1.0000 ; Source tokens/s 8403 ; Perplexity 84.30
[06/11/22 13:55:35 INFO] Epoch 1 ; Iteration 3400/4463 ; Learning rate 1.0000 ; Source tokens/s 9032 ; Perplexity 84.71
[06/11/22 13:55:45 INFO] Epoch 1 ; Iteration 3450/4463 ; Learning rate 1.0000 ; Source tokens/s 9335 ; Perplexity 84.26
[06/11/22 13:55:54 INFO] Epoch 1 ; Iteration 3500/4463 ; Learning rate 1.0000 ; Source tokens/s 9023 ; Perplexity 77.46
[06/11/22 13:56:03 INFO] Epoch 1 ; Iteration 3550/4463 ; Learning rate 1.0000 ; Source tokens/s 8759 ; Perplexity 77.64
[06/11/22 13:56:12 INFO] Epoch 1 ; Iteration 3600/4463 ; Learning rate 1.0000 ; Source tokens/s 8929 ; Perplexity 72.06
[06/11/22 13:56:22 INFO] Epoch 1 ; Iteration 3650/4463 ; Learning rate 1.0000 ; Source tokens/s 8052 ; Perplexity 77.61
[06/11/22 13:56:31 INFO] Epoch 1 ; Iteration 3700/4463 ; Learning rate 1.0000 ; Source tokens/s 8479 ; Perplexity 71.29
[06/11/22 13:56:41 INFO] Epoch 1 ; Iteration 3750/4463 ; Learning rate 1.0000 ; Source tokens/s 7958 ; Perplexity 70.32
[06/11/22 13:56:50 INFO] Epoch 1 ; Iteration 3800/4463 ; Learning rate 1.0000 ; Source tokens/s 9408 ; Perplexity 63.45
[06/11/22 13:56:59 INFO] Epoch 1 ; Iteration 3850/4463 ; Learning rate 1.0000 ; Source tokens/s 8582 ; Perplexity 62.51
[06/11/22 13:57:08 INFO] Epoch 1 ; Iteration 3900/4463 ; Learning rate 1.0000 ; Source tokens/s 8846 ; Perplexity 60.09
[06/11/22 13:57:17 INFO] Epoch 1 ; Iteration 3950/4463 ; Learning rate 1.0000 ; Source tokens/s 8871 ; Perplexity 60.85
[06/11/22 13:57:26 INFO] Epoch 1 ; Iteration 4000/4463 ; Learning rate 1.0000 ; Source tokens/s 8698 ; Perplexity 59.27
[06/11/22 13:57:35 INFO] Epoch 1 ; Iteration 4050/4463 ; Learning rate 1.0000 ; Source tokens/s 8519 ; Perplexity 58.81
[06/11/22 13:57:43 INFO] Epoch 1 ; Iteration 4100/4463 ; Learning rate 1.0000 ; Source tokens/s 8758 ; Perplexity 55.41
[06/11/22 13:57:53 INFO] Epoch 1 ; Iteration 4150/4463 ; Learning rate 1.0000 ; Source tokens/s 8442 ; Perplexity 57.24
[06/11/22 13:58:01 INFO] Epoch 1 ; Iteration 4200/4463 ; Learning rate 1.0000 ; Source tokens/s 8823 ; Perplexity 53.44
[06/11/22 13:58:10 INFO] Epoch 1 ; Iteration 4250/4463 ; Learning rate 1.0000 ; Source tokens/s 8922 ; Perplexity 53.00
[06/11/22 13:58:19 INFO] Epoch 1 ; Iteration 4300/4463 ; Learning rate 1.0000 ; Source tokens/s 7730 ; Perplexity 53.88
[06/11/22 13:58:28 INFO] Epoch 1 ; Iteration 4350/4463 ; Learning rate 1.0000 ; Source tokens/s 8760 ; Perplexity 53.46
[06/11/22 13:58:37 INFO] Epoch 1 ; Iteration 4400/4463 ; Learning rate 1.0000 ; Source tokens/s 9306 ; Perplexity 48.98
[06/11/22 13:58:46 INFO] Epoch 1 ; Iteration 4450/4463 ; Learning rate 1.0000 ; Source tokens/s 8169 ; Perplexity 54.02
[06/11/22 13:58:49 INFO] Epoch 1 ; Iteration 4463/4463 ; Learning rate 1.0000 ; Source tokens/s 9026 ; Perplexity 49.64
[06/11/22 13:59:02 INFO] Validation perplexity: 40.04
[06/11/22 13:59:02 INFO] Saving checkpoint to '../models/nts_w2v_contaminated_mismatched_epoch1_40.04.t7'...
[06/11/22 13:59:04 INFO] 
[06/11/22 13:59:13 INFO] Epoch 2 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 9231 ; Perplexity 43.95
[06/11/22 13:59:22 INFO] Epoch 2 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8794 ; Perplexity 43.76
[06/11/22 13:59:31 INFO] Epoch 2 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 9001 ; Perplexity 43.02
[06/11/22 13:59:41 INFO] Epoch 2 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8367 ; Perplexity 45.48
[06/11/22 13:59:50 INFO] Epoch 2 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 9305 ; Perplexity 43.39
[06/11/22 13:59:59 INFO] Epoch 2 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 9766 ; Perplexity 43.64
[06/11/22 14:00:08 INFO] Epoch 2 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 8811 ; Perplexity 42.22
[06/11/22 14:00:17 INFO] Epoch 2 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 8502 ; Perplexity 42.69
[06/11/22 14:00:26 INFO] Epoch 2 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 7960 ; Perplexity 42.80
[06/11/22 14:00:35 INFO] Epoch 2 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 8861 ; Perplexity 40.18
[06/11/22 14:00:45 INFO] Epoch 2 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8887 ; Perplexity 40.49
[06/11/22 14:00:54 INFO] Epoch 2 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9012 ; Perplexity 40.45
[06/11/22 14:01:03 INFO] Epoch 2 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 8963 ; Perplexity 41.93
[06/11/22 14:01:12 INFO] Epoch 2 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8720 ; Perplexity 39.39
[06/11/22 14:01:22 INFO] Epoch 2 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 9927 ; Perplexity 38.06
[06/11/22 14:01:31 INFO] Epoch 2 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 8550 ; Perplexity 37.39
[06/11/22 14:01:40 INFO] Epoch 2 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 8738 ; Perplexity 37.48
[06/11/22 14:01:49 INFO] Epoch 2 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8984 ; Perplexity 38.15
[06/11/22 14:01:58 INFO] Epoch 2 ; Iteration 950/4463 ; Learning rate 1.0000 ; Source tokens/s 9113 ; Perplexity 37.06
[06/11/22 14:02:07 INFO] Epoch 2 ; Iteration 1000/4463 ; Learning rate 1.0000 ; Source tokens/s 9031 ; Perplexity 37.52
[06/11/22 14:02:16 INFO] Epoch 2 ; Iteration 1050/4463 ; Learning rate 1.0000 ; Source tokens/s 8822 ; Perplexity 37.82
[06/11/22 14:02:26 INFO] Epoch 2 ; Iteration 1100/4463 ; Learning rate 1.0000 ; Source tokens/s 8238 ; Perplexity 36.30
[06/11/22 14:02:34 INFO] Epoch 2 ; Iteration 1150/4463 ; Learning rate 1.0000 ; Source tokens/s 9494 ; Perplexity 35.97
[06/11/22 14:02:44 INFO] Epoch 2 ; Iteration 1200/4463 ; Learning rate 1.0000 ; Source tokens/s 9277 ; Perplexity 35.13
[06/11/22 14:02:53 INFO] Epoch 2 ; Iteration 1250/4463 ; Learning rate 1.0000 ; Source tokens/s 8970 ; Perplexity 36.83
[06/11/22 14:03:02 INFO] Epoch 2 ; Iteration 1300/4463 ; Learning rate 1.0000 ; Source tokens/s 8799 ; Perplexity 33.92
[06/11/22 14:03:12 INFO] Epoch 2 ; Iteration 1350/4463 ; Learning rate 1.0000 ; Source tokens/s 8163 ; Perplexity 34.59
[06/11/22 14:03:21 INFO] Epoch 2 ; Iteration 1400/4463 ; Learning rate 1.0000 ; Source tokens/s 8570 ; Perplexity 34.79
[06/11/22 14:03:29 INFO] Epoch 2 ; Iteration 1450/4463 ; Learning rate 1.0000 ; Source tokens/s 8271 ; Perplexity 33.68
[06/11/22 14:03:39 INFO] Epoch 2 ; Iteration 1500/4463 ; Learning rate 1.0000 ; Source tokens/s 8985 ; Perplexity 33.77
[06/11/22 14:03:47 INFO] Epoch 2 ; Iteration 1550/4463 ; Learning rate 1.0000 ; Source tokens/s 8543 ; Perplexity 34.68
[06/11/22 14:03:56 INFO] Epoch 2 ; Iteration 1600/4463 ; Learning rate 1.0000 ; Source tokens/s 8867 ; Perplexity 32.27
