[06/11/22 16:58:43 INFO] Using GPU(s): 2
[06/11/22 16:58:43 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/11/22 16:58:43 INFO] Training Sequence to Sequence with Attention model
[06/11/22 16:58:43 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/11/22 16:58:55 INFO]  * vocabulary size: source = 50004; target = 50004
[06/11/22 16:58:55 INFO]  * additional features: source = 0; target = 0
[06/11/22 16:58:55 INFO]  * maximum sequence length: source = 80; target = 81
[06/11/22 16:58:55 INFO]  * number of training sentences: 282954
[06/11/22 16:58:55 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/11/22 16:58:55 INFO] Building model...
[06/11/22 16:58:55 INFO]  * Encoder:
[06/11/22 16:58:56 INFO]    - with word embeddings size: 500
[06/11/22 16:58:56 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/11/22 16:58:56 INFO]  * Decoder:
[06/11/22 16:58:57 INFO]    - with word embeddings size: 500
[06/11/22 16:58:57 INFO]    - Global Attention: general
[06/11/22 16:58:59 INFO] Initializing parameters...
[06/11/22 16:59:00 INFO] Network size: 50004x500
[06/11/22 16:59:00 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 16:59:01 INFO] Network size: 50004x500
[06/11/22 16:59:01 INFO] Pre-trained embeddings size: 50004x500
[06/11/22 16:59:01 INFO]  * number of parameters: 84822004
[06/11/22 16:59:01 INFO] Preparing memory optimization...
[06/11/22 16:59:01 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/11/22 16:59:01 INFO] Start training...
[06/11/22 16:59:01 INFO] 
[06/11/22 16:59:24 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3728 ; Perplexity 142038.56
[06/11/22 16:59:33 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8332 ; Perplexity 24716.59
[06/11/22 16:59:43 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7601 ; Perplexity 4869.49
[06/11/22 16:59:51 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 9004 ; Perplexity 2584.21
[06/11/22 17:00:00 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8713 ; Perplexity 1688.60
[06/11/22 17:00:11 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7932 ; Perplexity 1456.14
[06/11/22 17:00:20 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9320 ; Perplexity 1187.27
[06/11/22 17:00:29 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7917 ; Perplexity 885.76
[06/11/22 17:00:38 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9677 ; Perplexity 849.26
[06/11/22 17:00:47 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9354 ; Perplexity 744.18
[06/11/22 17:00:57 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8870 ; Perplexity 634.40
[06/11/22 17:01:06 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9315 ; Perplexity 631.88
[06/11/22 17:01:15 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9181 ; Perplexity 599.16
[06/11/22 17:01:24 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8785 ; Perplexity 528.67
[06/11/22 17:01:33 INFO] Epoch 1 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 8480 ; Perplexity 508.22
[06/11/22 17:01:42 INFO] Epoch 1 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 9020 ; Perplexity 492.04
[06/11/22 17:01:52 INFO] Epoch 1 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 9474 ; Perplexity 455.65
[06/11/22 17:02:01 INFO] Epoch 1 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8871 ; Perplexity 434.49
[06/11/22 17:02:10 INFO] Epoch 1 ; Iteration 950/4463 ; Learning rate 1.0000 ; Source tokens/s 9433 ; Perplexity 416.90
[06/11/22 17:02:19 INFO] Epoch 1 ; Iteration 1000/4463 ; Learning rate 1.0000 ; Source tokens/s 9290 ; Perplexity 396.92
[06/11/22 17:02:28 INFO] Epoch 1 ; Iteration 1050/4463 ; Learning rate 1.0000 ; Source tokens/s 8619 ; Perplexity 378.85
[06/11/22 17:02:37 INFO] Epoch 1 ; Iteration 1100/4463 ; Learning rate 1.0000 ; Source tokens/s 9485 ; Perplexity 365.26
[06/11/22 17:02:47 INFO] Epoch 1 ; Iteration 1150/4463 ; Learning rate 1.0000 ; Source tokens/s 8923 ; Perplexity 344.77
[06/11/22 17:02:56 INFO] Epoch 1 ; Iteration 1200/4463 ; Learning rate 1.0000 ; Source tokens/s 9662 ; Perplexity 333.00
[06/11/22 17:03:05 INFO] Epoch 1 ; Iteration 1250/4463 ; Learning rate 1.0000 ; Source tokens/s 8797 ; Perplexity 330.23
[06/11/22 17:03:14 INFO] Epoch 1 ; Iteration 1300/4463 ; Learning rate 1.0000 ; Source tokens/s 8977 ; Perplexity 321.61
[06/11/22 17:03:22 INFO] Epoch 1 ; Iteration 1350/4463 ; Learning rate 1.0000 ; Source tokens/s 9344 ; Perplexity 305.43
[06/11/22 17:03:32 INFO] Epoch 1 ; Iteration 1400/4463 ; Learning rate 1.0000 ; Source tokens/s 8951 ; Perplexity 311.04
[06/11/22 17:03:41 INFO] Epoch 1 ; Iteration 1450/4463 ; Learning rate 1.0000 ; Source tokens/s 9097 ; Perplexity 297.81
[06/11/22 17:03:50 INFO] Epoch 1 ; Iteration 1500/4463 ; Learning rate 1.0000 ; Source tokens/s 8659 ; Perplexity 290.66
