[05/26/22 03:04:55 INFO] Using GPU(s): 1
[05/26/22 03:04:55 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[05/26/22 03:04:55 INFO] Training Sequence to Sequence with Attention model
[05/26/22 03:04:55 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[05/26/22 03:05:06 INFO]  * vocabulary size: source = 50004; target = 50004
[05/26/22 03:05:06 INFO]  * additional features: source = 0; target = 0
[05/26/22 03:05:06 INFO]  * maximum sequence length: source = 80; target = 81
[05/26/22 03:05:06 INFO]  * number of training sentences: 282954
[05/26/22 03:05:06 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[05/26/22 03:05:06 INFO] Building model...
[05/26/22 03:05:06 INFO]  * Encoder:
[05/26/22 03:05:08 INFO]    - with word embeddings size: 500
[05/26/22 03:05:08 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[05/26/22 03:05:08 INFO]  * Decoder:
[05/26/22 03:05:09 INFO]    - with word embeddings size: 500
[05/26/22 03:05:09 INFO]    - Global Attention: general
[05/26/22 03:05:10 INFO] Initializing parameters...
[05/26/22 03:05:12 INFO] Network size: 50004x500
[05/26/22 03:05:12 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 03:05:12 INFO] Network size: 50004x500
[05/26/22 03:05:12 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 03:05:12 INFO]  * number of parameters: 84822004
[05/26/22 03:05:12 INFO] Preparing memory optimization...
[05/26/22 03:05:13 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[05/26/22 03:05:13 INFO] Start training...
[05/26/22 03:05:13 INFO] 
[05/26/22 03:05:35 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3681 ; Perplexity 334325.46
[05/26/22 03:05:45 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8189 ; Perplexity 49256.92
[05/26/22 03:05:55 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7470 ; Perplexity 5978.41
[05/26/22 03:06:03 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8850 ; Perplexity 2668.81
[05/26/22 03:06:13 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8610 ; Perplexity 1793.61
[05/26/22 03:06:23 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7831 ; Perplexity 1465.66
[05/26/22 03:06:33 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9156 ; Perplexity 1249.97
[05/26/22 03:06:42 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7758 ; Perplexity 992.84
[05/26/22 03:06:51 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9509 ; Perplexity 925.57
[05/26/22 03:07:00 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9186 ; Perplexity 829.44
[05/26/22 03:07:10 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8627 ; Perplexity 688.57
[05/26/22 03:07:19 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9205 ; Perplexity 683.09
[05/26/22 03:07:29 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 8890 ; Perplexity 649.69
[05/26/22 03:07:38 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8624 ; Perplexity 575.32
[05/26/22 03:07:47 INFO] Epoch 1 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 8372 ; Perplexity 530.25
[05/26/22 03:07:56 INFO] Epoch 1 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 8841 ; Perplexity 521.27
[05/26/22 03:08:06 INFO] Epoch 1 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 9281 ; Perplexity 484.12
[05/26/22 03:08:16 INFO] Epoch 1 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8662 ; Perplexity 465.99
