[06/03/22 05:06:06 INFO] Using GPU(s): 1
[06/03/22 05:06:06 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/03/22 05:06:06 INFO] Training Sequence to Sequence with Attention model
[06/03/22 05:06:06 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/03/22 05:06:17 INFO]  * vocabulary size: source = 50004; target = 50004
[06/03/22 05:06:17 INFO]  * additional features: source = 0; target = 0
[06/03/22 05:06:17 INFO]  * maximum sequence length: source = 80; target = 81
[06/03/22 05:06:17 INFO]  * number of training sentences: 282954
[06/03/22 05:06:17 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/03/22 05:06:17 INFO] Building model...
[06/03/22 05:06:17 INFO]  * Encoder:
[06/03/22 05:06:18 INFO]    - with word embeddings size: 500
[06/03/22 05:06:18 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/03/22 05:06:18 INFO]  * Decoder:
[06/03/22 05:06:19 INFO]    - with word embeddings size: 500
[06/03/22 05:06:20 INFO]    - Global Attention: general
[06/03/22 05:06:21 INFO] Initializing parameters...
[06/03/22 05:06:22 INFO] Network size: 50004x500
[06/03/22 05:06:22 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 05:06:23 INFO] Network size: 50004x500
[06/03/22 05:06:23 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 05:06:23 INFO]  * number of parameters: 84822004
[06/03/22 05:06:23 INFO] Preparing memory optimization...
[06/03/22 05:06:23 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/03/22 05:06:23 INFO] Start training...
[06/03/22 05:06:23 INFO] 
[06/03/22 05:06:46 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3735 ; Perplexity 153338.82
[06/03/22 05:06:55 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8247 ; Perplexity 13223.46
[06/03/22 05:07:05 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7537 ; Perplexity 4341.19
[06/03/22 05:07:14 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8900 ; Perplexity 2384.84
[06/03/22 05:07:23 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8688 ; Perplexity 1578.85
[06/03/22 05:07:33 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7921 ; Perplexity 1277.45
[06/03/22 05:07:42 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9248 ; Perplexity 1119.59
[06/03/22 05:07:52 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7858 ; Perplexity 861.57
[06/03/22 05:08:01 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9581 ; Perplexity 824.35
[06/03/22 05:08:10 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9237 ; Perplexity 741.41
[06/03/22 05:08:19 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8782 ; Perplexity 633.00
[06/03/22 05:08:29 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9212 ; Perplexity 619.10
[06/03/22 05:08:38 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9091 ; Perplexity 598.73
[06/03/22 05:08:47 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8627 ; Perplexity 529.29
