[06/03/22 11:39:52 INFO] Using GPU(s): 1
[06/03/22 11:39:52 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/03/22 11:39:52 INFO] Training Sequence to Sequence with Attention model
[06/03/22 11:39:52 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/03/22 11:40:03 INFO]  * vocabulary size: source = 50004; target = 50004
[06/03/22 11:40:03 INFO]  * additional features: source = 0; target = 0
[06/03/22 11:40:03 INFO]  * maximum sequence length: source = 80; target = 81
[06/03/22 11:40:03 INFO]  * number of training sentences: 282954
[06/03/22 11:40:03 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/03/22 11:40:03 INFO] Building model...
[06/03/22 11:40:03 INFO]  * Encoder:
[06/03/22 11:40:04 INFO]    - with word embeddings size: 500
[06/03/22 11:40:04 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/03/22 11:40:04 INFO]  * Decoder:
[06/03/22 11:40:05 INFO]    - with word embeddings size: 500
[06/03/22 11:40:05 INFO]    - Global Attention: general
[06/03/22 11:40:07 INFO] Initializing parameters...
[06/03/22 11:40:08 INFO] Network size: 50004x500
[06/03/22 11:40:08 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 11:40:09 INFO] Network size: 50004x500
[06/03/22 11:40:09 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 11:40:09 INFO]  * number of parameters: 84822004
[06/03/22 11:40:09 INFO] Preparing memory optimization...
[06/03/22 11:40:09 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/03/22 11:40:09 INFO] Start training...
[06/03/22 11:40:09 INFO] 
[06/03/22 11:40:32 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3744 ; Perplexity 109748.54
[06/03/22 11:40:41 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8381 ; Perplexity 10696.82
[06/03/22 11:40:51 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7644 ; Perplexity 4190.21
[06/03/22 11:40:59 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 9031 ; Perplexity 2265.13
[06/03/22 11:41:08 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8799 ; Perplexity 1513.83
[06/03/22 11:41:18 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 8007 ; Perplexity 1373.44
[06/03/22 11:41:28 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9345 ; Perplexity 1229.99
[06/03/22 11:41:37 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7926 ; Perplexity 999.47
[06/03/22 11:41:46 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9684 ; Perplexity 1008.65
[06/03/22 11:41:55 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9352 ; Perplexity 912.35
[06/03/22 11:42:04 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8877 ; Perplexity 769.92
[06/03/22 11:42:13 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9296 ; Perplexity 806.05
[06/03/22 11:42:23 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9177 ; Perplexity 715.58
[06/03/22 11:42:31 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8755 ; Perplexity 635.04
