[06/03/22 18:20:36 INFO] Using GPU(s): 1
[06/03/22 18:20:36 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[06/03/22 18:20:36 INFO] Training Sequence to Sequence with Attention model
[06/03/22 18:20:36 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[06/03/22 18:20:48 INFO]  * vocabulary size: source = 50004; target = 50004
[06/03/22 18:20:48 INFO]  * additional features: source = 0; target = 0
[06/03/22 18:20:48 INFO]  * maximum sequence length: source = 80; target = 81
[06/03/22 18:20:48 INFO]  * number of training sentences: 282954
[06/03/22 18:20:48 INFO]  * 4463 batches, max size: 64 (even), avg size: 63.399955, capacity: 100%
[06/03/22 18:20:48 INFO] Building model...
[06/03/22 18:20:48 INFO]  * Encoder:
[06/03/22 18:20:49 INFO]    - with word embeddings size: 500
[06/03/22 18:20:49 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[06/03/22 18:20:49 INFO]  * Decoder:
[06/03/22 18:20:50 INFO]    - with word embeddings size: 500
[06/03/22 18:20:50 INFO]    - Global Attention: general
[06/03/22 18:20:52 INFO] Initializing parameters...
[06/03/22 18:20:53 INFO] Network size: 50004x500
[06/03/22 18:20:53 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 18:20:53 INFO] Network size: 50004x500
[06/03/22 18:20:53 INFO] Pre-trained embeddings size: 50004x500
[06/03/22 18:20:53 INFO]  * number of parameters: 84822004
[06/03/22 18:20:53 INFO] Preparing memory optimization...
[06/03/22 18:20:54 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[06/03/22 18:20:54 INFO] Start training...
[06/03/22 18:20:54 INFO] 
[06/03/22 18:21:16 INFO] Epoch 1 ; Iteration 50/4463 ; Learning rate 1.0000 ; Source tokens/s 3725 ; Perplexity 91068.53
[06/03/22 18:21:26 INFO] Epoch 1 ; Iteration 100/4463 ; Learning rate 1.0000 ; Source tokens/s 8343 ; Perplexity 14649.69
[06/03/22 18:21:35 INFO] Epoch 1 ; Iteration 150/4463 ; Learning rate 1.0000 ; Source tokens/s 7612 ; Perplexity 5463.05
[06/03/22 18:21:44 INFO] Epoch 1 ; Iteration 200/4463 ; Learning rate 1.0000 ; Source tokens/s 8985 ; Perplexity 2700.69
[06/03/22 18:21:53 INFO] Epoch 1 ; Iteration 250/4463 ; Learning rate 1.0000 ; Source tokens/s 8768 ; Perplexity 1588.77
[06/03/22 18:22:03 INFO] Epoch 1 ; Iteration 300/4463 ; Learning rate 1.0000 ; Source tokens/s 7944 ; Perplexity 1341.03
[06/03/22 18:22:13 INFO] Epoch 1 ; Iteration 350/4463 ; Learning rate 1.0000 ; Source tokens/s 9298 ; Perplexity 1164.26
[06/03/22 18:22:22 INFO] Epoch 1 ; Iteration 400/4463 ; Learning rate 1.0000 ; Source tokens/s 7899 ; Perplexity 877.05
[06/03/22 18:22:31 INFO] Epoch 1 ; Iteration 450/4463 ; Learning rate 1.0000 ; Source tokens/s 9650 ; Perplexity 853.71
[06/03/22 18:22:40 INFO] Epoch 1 ; Iteration 500/4463 ; Learning rate 1.0000 ; Source tokens/s 9364 ; Perplexity 764.36
[06/03/22 18:22:49 INFO] Epoch 1 ; Iteration 550/4463 ; Learning rate 1.0000 ; Source tokens/s 8886 ; Perplexity 647.65
[06/03/22 18:22:58 INFO] Epoch 1 ; Iteration 600/4463 ; Learning rate 1.0000 ; Source tokens/s 9354 ; Perplexity 632.24
[06/03/22 18:23:08 INFO] Epoch 1 ; Iteration 650/4463 ; Learning rate 1.0000 ; Source tokens/s 9181 ; Perplexity 609.23
[06/03/22 18:23:16 INFO] Epoch 1 ; Iteration 700/4463 ; Learning rate 1.0000 ; Source tokens/s 8788 ; Perplexity 532.54
[06/03/22 18:23:26 INFO] Epoch 1 ; Iteration 750/4463 ; Learning rate 1.0000 ; Source tokens/s 8496 ; Perplexity 512.01
[06/03/22 18:23:35 INFO] Epoch 1 ; Iteration 800/4463 ; Learning rate 1.0000 ; Source tokens/s 9020 ; Perplexity 488.20
[06/03/22 18:23:44 INFO] Epoch 1 ; Iteration 850/4463 ; Learning rate 1.0000 ; Source tokens/s 9461 ; Perplexity 462.30
[06/03/22 18:23:54 INFO] Epoch 1 ; Iteration 900/4463 ; Learning rate 1.0000 ; Source tokens/s 8877 ; Perplexity 437.49
[06/03/22 18:24:03 INFO] Epoch 1 ; Iteration 950/4463 ; Learning rate 1.0000 ; Source tokens/s 9449 ; Perplexity 418.46
[06/03/22 18:24:12 INFO] Epoch 1 ; Iteration 1000/4463 ; Learning rate 1.0000 ; Source tokens/s 9278 ; Perplexity 399.19
[06/03/22 18:24:21 INFO] Epoch 1 ; Iteration 1050/4463 ; Learning rate 1.0000 ; Source tokens/s 8626 ; Perplexity 383.66
[06/03/22 18:24:30 INFO] Epoch 1 ; Iteration 1100/4463 ; Learning rate 1.0000 ; Source tokens/s 9487 ; Perplexity 369.97
[06/03/22 18:24:39 INFO] Epoch 1 ; Iteration 1150/4463 ; Learning rate 1.0000 ; Source tokens/s 8934 ; Perplexity 350.87
[06/03/22 18:24:48 INFO] Epoch 1 ; Iteration 1200/4463 ; Learning rate 1.0000 ; Source tokens/s 9661 ; Perplexity 344.16
[06/03/22 18:24:58 INFO] Epoch 1 ; Iteration 1250/4463 ; Learning rate 1.0000 ; Source tokens/s 8803 ; Perplexity 333.75
[06/03/22 18:25:06 INFO] Epoch 1 ; Iteration 1300/4463 ; Learning rate 1.0000 ; Source tokens/s 8987 ; Perplexity 326.05
[06/03/22 18:25:15 INFO] Epoch 1 ; Iteration 1350/4463 ; Learning rate 1.0000 ; Source tokens/s 9358 ; Perplexity 309.21
[06/03/22 18:25:24 INFO] Epoch 1 ; Iteration 1400/4463 ; Learning rate 1.0000 ; Source tokens/s 8949 ; Perplexity 312.87
[06/03/22 18:25:33 INFO] Epoch 1 ; Iteration 1450/4463 ; Learning rate 1.0000 ; Source tokens/s 9108 ; Perplexity 302.39
[06/03/22 18:25:42 INFO] Epoch 1 ; Iteration 1500/4463 ; Learning rate 1.0000 ; Source tokens/s 8659 ; Perplexity 299.30
[06/03/22 18:25:51 INFO] Epoch 1 ; Iteration 1550/4463 ; Learning rate 1.0000 ; Source tokens/s 8893 ; Perplexity 288.32
[06/03/22 18:26:00 INFO] Epoch 1 ; Iteration 1600/4463 ; Learning rate 1.0000 ; Source tokens/s 9923 ; Perplexity 296.58
[06/03/22 18:26:10 INFO] Epoch 1 ; Iteration 1650/4463 ; Learning rate 1.0000 ; Source tokens/s 8733 ; Perplexity 270.87
[06/03/22 18:26:19 INFO] Epoch 1 ; Iteration 1700/4463 ; Learning rate 1.0000 ; Source tokens/s 9767 ; Perplexity 271.14
[06/03/22 18:26:28 INFO] Epoch 1 ; Iteration 1750/4463 ; Learning rate 1.0000 ; Source tokens/s 8386 ; Perplexity 260.95
[06/03/22 18:26:37 INFO] Epoch 1 ; Iteration 1800/4463 ; Learning rate 1.0000 ; Source tokens/s 8802 ; Perplexity 258.78
[06/03/22 18:26:46 INFO] Epoch 1 ; Iteration 1850/4463 ; Learning rate 1.0000 ; Source tokens/s 9242 ; Perplexity 248.75
[06/03/22 18:26:55 INFO] Epoch 1 ; Iteration 1900/4463 ; Learning rate 1.0000 ; Source tokens/s 9609 ; Perplexity 265.51
[06/03/22 18:27:03 INFO] Epoch 1 ; Iteration 1950/4463 ; Learning rate 1.0000 ; Source tokens/s 9176 ; Perplexity 239.57
[06/03/22 18:27:13 INFO] Epoch 1 ; Iteration 2000/4463 ; Learning rate 1.0000 ; Source tokens/s 8781 ; Perplexity 240.83
[06/03/22 18:27:22 INFO] Epoch 1 ; Iteration 2050/4463 ; Learning rate 1.0000 ; Source tokens/s 9268 ; Perplexity 234.63
[06/03/22 18:27:31 INFO] Epoch 1 ; Iteration 2100/4463 ; Learning rate 1.0000 ; Source tokens/s 9349 ; Perplexity 229.04
[06/03/22 18:27:40 INFO] Epoch 1 ; Iteration 2150/4463 ; Learning rate 1.0000 ; Source tokens/s 8297 ; Perplexity 223.03
[06/03/22 18:27:50 INFO] Epoch 1 ; Iteration 2200/4463 ; Learning rate 1.0000 ; Source tokens/s 9182 ; Perplexity 223.84
[06/03/22 18:27:59 INFO] Epoch 1 ; Iteration 2250/4463 ; Learning rate 1.0000 ; Source tokens/s 9452 ; Perplexity 219.64
[06/03/22 18:28:08 INFO] Epoch 1 ; Iteration 2300/4463 ; Learning rate 1.0000 ; Source tokens/s 9125 ; Perplexity 214.95
[06/03/22 18:28:17 INFO] Epoch 1 ; Iteration 2350/4463 ; Learning rate 1.0000 ; Source tokens/s 8141 ; Perplexity 199.22
[06/03/22 18:28:26 INFO] Epoch 1 ; Iteration 2400/4463 ; Learning rate 1.0000 ; Source tokens/s 8516 ; Perplexity 198.39
[06/03/22 18:28:35 INFO] Epoch 1 ; Iteration 2450/4463 ; Learning rate 1.0000 ; Source tokens/s 10065 ; Perplexity 195.90
[06/03/22 18:28:43 INFO] Epoch 1 ; Iteration 2500/4463 ; Learning rate 1.0000 ; Source tokens/s 8495 ; Perplexity 190.65
[06/03/22 18:28:53 INFO] Epoch 1 ; Iteration 2550/4463 ; Learning rate 1.0000 ; Source tokens/s 8986 ; Perplexity 186.49
